Дата,Максимальная температура,Минимальная температура,Средняя температура,Атмосферное давление,Скорость ветра,Осадки,Эффективная температура
01.01.2019,-2.0,-7.0,-5.1,,5,,-10.5
02.01.2019,-3.0,-4.0,-3.4,,6,,-9.3
03.01.2019,-2.0,-4.0,-3.2,,5,,-8.4
04.01.2019,-4.0,-6.0,-4.4,,2,,-7.8
05.01.2019,-5.0,-8.0,-6.1,,2,,-9.7
06.01.2019,-7.0,-10.0,-7.8,,3,,-12.2
07.01.2019,-10.0,-14.0,-11.8,,4,,-17.2
08.01.2019,-9.0,-12.0,-10.4,,4,,-15.7
09.01.2019,-10.0,-18.0,-12.9,,3,,-17.7
10.01.2019,-7.0,-18.0,-11.1,,2,,-15.1
11.01.2019,-10.0,-17.0,-12.1,,2,,-16.2
12.01.2019,-10.0,-12.0,-10.7,,5,,-16.6
13.01.2019,-3.0,-10.0,-6.1,,4,,-11.0
14.01.2019,-2.0,-4.0,-2.7,,6,,-8.6
15.01.2019,0.0,-8.0,-2.6,,6,,-8.5
16.01.2019,-6.0,-14.0,-8.9,,3,,-13.4
17.01.2019,0.0,-6.0,-3.7,,7,,-10.3
18.01.2019,2.0,-2.0,1.1,,6,,-4.4
19.01.2019,-3.0,-9.0,-5.3,,5,,-10.8
20.01.2019,-3.0,-9.0,-5.2,,6,,-11.4
21.01.2019,-5.0,-14.0,-7.7,,4,,-12.8
22.01.2019,-13.0,-20.0,-15.3,,4,,-20.9
23.01.2019,-13.0,-23.0,-18.0,,2,,-22.5
24.01.2019,-11.0,-21.0,-16.1,,2,,-20.5
25.01.2019,-11.0,-19.0,-15.6,,2,0.0,-19.9
26.01.2019,-9.0,-16.0,-12.0,,6,,-18.7
27.01.2019,-8.0,-10.0,-9.2,,5,,-15.0
28.01.2019,-6.0,-9.0,-7.8,,3,,-12.2
29.01.2019,-2.0,-6.0,-3.9,,5,,-9.2
30.01.2019,-1.0,-5.0,-3.2,,5,,-8.4
31.01.2019,1.0,-3.0,-0.6,,5,,-5.5
01.02.2019,-3.0,-6.0,-4.3,,3,,-8.3
02.02.2019,-4.0,-6.0,-5.1,,3,,-9.2
03.02.2019,1.0,-5.0,-1.6,,4,,-6.0
04.02.2019,3.0,1.0,1.8,,4,,-2.2
05.02.2019,2.0,-3.0,-0.4,,4,,-4.8
06.02.2019,0.0,-3.0,-1.6,,3,,-5.4
07.02.2019,-1.0,-4.0,-2.2,,3,,-6.1
08.02.2019,2.0,-3.0,-1.2,,3,0.0,-5.1
09.02.2019,-1.0,-3.0,-2.0,,4,,-6.5
10.02.2019,-3.0,-6.0,-4.7,,5,,-10.2
11.02.2019,0.0,-4.0,-1.7,,5,,-6.8
12.02.2019,1.0,-1.0,0.2,,6,,-5.3
13.02.2019,1.0,-4.0,-1.7,,4,,-6.1
14.02.2019,-1.0,-9.0,-3.6,,3,0.0,-7.7
15.02.2019,3.0,-2.0,0.9,,7,,-5.2
16.02.2019,4.0,0.0,1.9,,6,0.0,-3.6
17.02.2019,5.0,-1.0,1.7,,9,,-5.9
18.02.2019,-1.0,-12.0,-2.8,,8,,-10.3
19.02.2019,2.0,-13.0,-3.7,,5,0.0,-9.3
20.02.2019,2.0,-2.0,1.1,,5,,-3.8
21.02.2019,1.0,-9.0,-3.6,,8,,-10.9
22.02.2019,-7.0,-10.0,-8.7,,8,,-16.5
23.02.2019,-5.0,-13.0,-7.7,,4,,-12.9
24.02.2019,0.0,-6.0,-2.2,,4,,-6.7
25.02.2019,3.0,0.0,1.3,,6,,-4.1
26.02.2019,2.0,-1.0,1.1,,6,,-4.3
27.02.2019,-1.0,-4.0,-2.3,,5,,-7.7
28.02.2019,2.0,-2.0,0.4,,3,,-3.3
01.03.2019,2.0,-6.0,-0.7,,4,,-5.0
02.03.2019,-4.0,-10.0,-7.0,,4,,-12.1
03.03.2019,-1.0,-9.0,-5.1,,6,,-11.2
04.03.2019,1.0,-7.0,-1.8,,3,,-5.6
05.03.2019,5.0,1.0,3.0,,5,,-1.5
06.03.2019,3.0,-11.0,-3.3,,7,,-10.1
07.03.2019,-1.0,-14.0,-6.1,,5,0.0,-11.8
08.03.2019,3.0,-3.0,0.6,,6,,-5.0
09.03.2019,6.0,-2.0,3.5,,5,0.0,-1.4
10.03.2019,5.0,-3.0,1.2,,5,,-3.7
11.03.2019,3.0,0.0,1.1,,4,,-3.1
12.03.2019,1.0,-6.0,-1.8,,4,,-6.4
13.03.2019,-3.0,-12.0,-5.8,,3,,-10.1
14.03.2019,2.0,-14.0,-4.6,,4,,-9.5
15.03.2019,3.0,-3.0,-0.4,,6,,-6.2
16.03.2019,0.0,-3.0,-0.4,,5,0.0,-5.4
17.03.2019,2.0,-1.0,0.7,,4,0.0,-3.6
18.03.2019,5.0,1.0,2.4,,6,0.0,-3.0
19.03.2019,4.0,2.0,2.9,,4,,-1.0
20.03.2019,6.0,-1.0,3.1,,4,0.0,-1.0
21.03.2019,2.0,-1.0,1.1,,3,,-2.4
22.03.2019,3.0,-1.0,1.0,,6,,-4.5
23.03.2019,4.0,-4.0,1.5,,4,,-2.8
24.03.2019,2.0,-5.0,-0.2,,4,,-4.4
25.03.2019,7.0,-2.0,2.3,,4,,-2.1
26.03.2019,8.0,-2.0,2.4,,4,0.0,-1.9
27.03.2019,5.0,-4.0,-0.2,,4,,-4.8
28.03.2019,3.0,-2.0,0.6,,5,,-4.6
29.03.2019,3.0,-1.0,1.3,,3,,-2.2
30.03.2019,8.0,2.0,5.2,,4,0.0,1.5
31.03.2019,14.0,3.0,9.3,,5,,5.0
01.04.2019,7.0,-2.0,3.6,,6,,-1.9
02.04.2019,8.0,-2.0,2.4,,4,0.0,-2.0
03.04.2019,9.0,-2.0,3.4,,3,0.0,-0.4
04.04.2019,10.0,-1.0,4.3,,4,0.0,-0.2
05.04.2019,7.0,0.0,3.6,,3,0.0,-0.0
06.04.2019,6.0,-4.0,2.8,,3,,-0.7
07.04.2019,9.0,-5.0,2.7,,3,0.0,-0.9
08.04.2019,11.0,0.0,7.2,,6,,2.1
09.04.2019,19.0,7.0,12.4,,5,,8.3
10.04.2019,15.0,3.0,10.6,,4,,7.6
11.04.2019,13.0,2.0,7.4,,4,0.0,3.5
12.04.2019,5.0,1.0,2.8,,5,,-1.8
13.04.2019,5.0,0.0,2.4,,5,,-2.3
14.04.2019,3.0,0.0,1.1,,6,,-4.4
15.04.2019,12.0,0.0,4.6,,4,,0.3
16.04.2019,14.0,0.0,7.3,,5,0.0,2.5
17.04.2019,10.0,0.0,5.6,,3,0.0,1.9
18.04.2019,12.0,1.0,6.7,,3,0.0,3.1
19.04.2019,12.0,0.0,6.5,,2,0.0,3.5
20.04.2019,14.0,-2.0,8.3,,2,0.0,5.6
21.04.2019,17.0,2.0,10.7,,2,0.0,8.1
22.04.2019,18.0,1.0,11.2,,2,0.0,8.6
23.04.2019,19.0,3.0,12.8,,4,0.0,9.1
24.04.2019,23.0,4.0,15.4,,3,0.0,12.6
25.04.2019,24.0,6.0,17.1,,3,0.0,14.5
26.04.2019,22.0,9.0,16.7,,2,0.0,14.7
27.04.2019,24.0,8.0,16.8,,3,0.0,14.3
28.04.2019,13.0,0.0,8.3,,6,,3.0
29.04.2019,10.0,-1.0,5.2,,3,0.0,1.4
30.04.2019,13.0,0.0,7.1,,2,0.0,4.2
01.05.2019,16.0,-1.0,9.3,,4,,5.2
02.05.2019,10.0,6.0,7.8,,4,,4.5
03.05.2019,17.0,8.0,11.9,,5,,7.9
04.05.2019,14.0,4.0,9.8,,3,,6.9
05.05.2019,23.0,3.0,13.4,,4,,10.6
06.05.2019,25.0,8.0,17.0,,3,0.0,14.8
07.05.2019,25.0,7.0,17.7,,3,0.0,15.6
08.05.2019,24.0,11.0,17.4,,3,,16.0
09.05.2019,26.0,13.0,17.7,,4,,16.0
10.05.2019,25.0,15.0,19.7,,4,,18.2
11.05.2019,21.0,9.0,17.1,,5,0.0,14.1
12.05.2019,22.0,8.0,16.8,,2,,15.7
13.05.2019,21.0,14.0,17.2,,5,,14.6
14.05.2019,19.0,14.0,16.1,,4,,14.2
15.05.2019,21.0,12.0,16.4,,4,,14.7
20.05.2019,22.0,5.0,14.9,,2,0.0,13.0
21.05.2019,24.0,7.0,17.2,,2,0.0,15.8
22.05.2019,25.0,10.0,19.4,,3,0.0,17.5
23.05.2019,25.0,12.0,17.1,,4,,15.2
24.05.2019,16.0,9.0,12.0,,4,0.0,9.1
25.05.2019,19.0,8.0,14.7,,5,0.0,11.5
26.05.2019,23.0,13.0,17.6,,3,,16.3
27.05.2019,21.0,11.0,16.3,,5,0.0,13.1
28.05.2019,28.0,14.0,21.8,,4,0.0,19.9
29.05.2019,30.0,16.0,23.1,,4,0.0,21.4
30.05.2019,29.0,16.0,21.6,,4,,20.3
31.05.2019,25.0,15.0,19.9,,3,,19.4
01.06.2019,23.0,10.0,18.7,,3,0.0,17.1
02.06.2019,25.0,9.0,19.6,,3,0.0,18.2
03.06.2019,20.0,8.0,16.9,,4,0.0,14.2
04.06.2019,23.0,5.0,16.4,,2,0.0,14.7
05.06.2019,26.0,8.0,18.9,,3,0.0,16.9
06.06.2019,29.0,10.0,20.9,,2,0.0,19.9
07.06.2019,30.0,12.0,22.9,,2,0.0,22.2
08.06.2019,30.0,14.0,23.2,,2,0.0,23.1
09.06.2019,31.0,15.0,24.1,,2,0.0,24.1
10.06.2019,28.0,16.0,23.8,,3,0.0,23.2
11.06.2019,29.0,14.0,23.4,,2,0.0,22.8
12.06.2019,26.0,13.0,19.7,,3,,18.3
13.06.2019,20.0,8.0,14.3,,4,0.0,11.0
14.06.2019,22.0,7.0,16.9,,3,,15.5
15.06.2019,19.0,12.0,15.7,,2,0.0,15.1
16.06.2019,22.0,10.0,17.6,,3,,16.3
17.06.2019,27.0,11.0,20.3,,3,,19.0
18.06.2019,27.0,16.0,22.2,,4,,20.6
19.06.2019,28.0,14.0,22.4,,3,0.0,20.8
20.06.2019,30.0,13.0,23.6,,2,0.0,22.9
21.06.2019,31.0,14.0,24.6,,2,0.0,24.2
22.06.2019,31.0,19.0,25.8,,4,0.0,24.6
23.06.2019,28.0,15.0,22.6,,4,,20.9
24.06.2019,26.0,15.0,21.0,,4,0.0,18.4
25.06.2019,23.0,12.0,19.1,,4,0.0,16.2
26.06.2019,23.0,11.0,16.9,,3,,15.3
27.06.2019,15.0,13.0,14.4,,5,,11.9
28.06.2019,16.0,11.0,13.1,,6,,9.7
29.06.2019,11.0,9.0,10.4,,6,,6.4
30.06.2019,19.0,9.0,15.1,,4,0.0,12.7
01.07.2019,26.0,10.0,20.1,,4,0.0,18.6
02.07.2019,24.0,13.0,19.5,,5,,16.9
03.07.2019,20.0,11.0,15.8,,6,,12.1
04.07.2019,18.0,10.0,14.0,,6,0.0,9.7
05.07.2019,20.0,10.0,15.7,,4,,12.9
06.07.2019,20.0,11.0,13.6,,4,,11.1
07.07.2019,19.0,10.0,14.8,,4,0.0,12.3
08.07.2019,23.0,13.0,17.3,,3,,15.9
09.07.2019,22.0,11.0,16.7,,3,0.0,15.0
10.07.2019,19.0,11.0,14.6,,4,,12.3
11.07.2019,18.0,12.0,14.1,,3,,12.6
12.07.2019,15.0,11.0,13.1,,3,,11.4
13.07.2019,18.0,10.0,14.3,,2,,13.1
14.07.2019,20.0,10.0,15.0,,2,0.0,13.9
15.07.2019,18.0,8.0,14.1,,2,,13.1
16.07.2019,23.0,12.0,16.1,,3,,14.9
17.07.2019,19.0,14.0,16.1,,2,,15.9
18.07.2019,21.0,11.0,16.7,,4,,14.9
19.07.2019,21.0,12.0,16.2,,4,,14.3
20.07.2019,21.0,15.0,17.0,,4,,15.5
21.07.2019,23.0,14.0,18.2,,4,0.0,16.6
22.07.2019,25.0,11.0,19.7,,2,0.0,19.4
23.07.2019,20.0,15.0,17.2,,3,,16.6
24.07.2019,21.0,14.0,17.3,,2,,17.4
25.07.2019,22.0,14.0,18.3,,3,,17.8
26.07.2019,28.0,17.0,22.3,,4,0.0,21.3
27.07.2019,28.0,17.0,23.3,,4,,22.2
28.07.2019,27.0,14.0,21.9,,5,0.0,19.9
29.07.2019,18.0,10.0,13.9,,4,0.0,10.8
30.07.2019,16.0,8.0,12.3,,4,0.0,9.1
31.07.2019,14.0,9.0,11.1,,6,,6.8
01.08.2019,15.0,10.0,12.9,,5,,9.7
02.08.2019,14.0,11.0,12.7,,4,,10.3
03.08.2019,19.0,11.0,13.7,,4,,11.2
04.08.2019,15.0,6.0,11.3,,4,,8.3
05.08.2019,15.0,5.0,10.4,,5,,6.8
06.08.2019,19.0,9.0,14.1,,5,,10.7
07.08.2019,21.0,10.0,16.0,,3,,14.6
08.08.2019,25.0,12.0,19.8,,3,,19.2
09.08.2019,17.0,14.0,15.8,,7,,12.0
10.08.2019,15.0,9.0,13.3,,6,,9.7
11.08.2019,20.0,8.0,14.3,,4,0.0,11.6
12.08.2019,22.0,6.0,15.5,,1,0.0,15.2
13.08.2019,24.0,9.0,18.7,,3,,17.8
14.08.2019,23.0,15.0,18.9,,4,0.0,17.6
15.08.2019,24.0,15.0,19.1,,5,,17.1
16.08.2019,17.0,14.0,15.4,,4,,13.6
17.08.2019,17.0,14.0,15.4,,5,,13.1
18.08.2019,22.0,16.0,18.3,,5,,16.6
19.08.2019,20.0,13.0,17.1,,3,,16.3
20.08.2019,27.0,10.0,20.7,,3,0.0,20.2
21.08.2019,26.0,15.0,21.3,,2,0.0,21.8
22.08.2019,27.0,12.0,19.4,,4,0.0,18.1
23.08.2019,23.0,10.0,16.9,,2,0.0,16.0
24.08.2019,23.0,9.0,17.5,,3,0.0,15.9
25.08.2019,21.0,9.0,15.4,,4,0.0,13.0
26.08.2019,22.0,6.0,15.8,,2,0.0,14.7
27.08.2019,22.0,12.0,17.8,,5,,15.0
28.08.2019,18.0,7.0,13.4,,4,0.0,10.3
29.08.2019,22.0,5.0,14.7,,3,0.0,12.4
30.08.2019,24.0,8.0,16.7,,2,0.0,15.4
31.08.2019,23.0,10.0,15.1,,2,0.0,14.4
01.09.2019,25.0,9.0,17.9,,2,0.0,17.2
02.09.2019,22.0,10.0,17.3,,1,0.0,17.6
03.09.2019,25.0,11.0,17.9,,3,0.0,16.6
04.09.2019,24.0,13.0,18.1,,4,,16.0
05.09.2019,17.0,13.0,15.1,,2,,14.6
06.09.2019,24.0,12.0,17.6,,3,0.0,16.5
07.09.2019,24.0,13.0,18.3,,3,0.0,17.1
08.09.2019,24.0,11.0,17.2,,2,0.0,16.5
09.09.2019,24.0,9.0,16.9,,2,0.0,15.9
10.09.2019,25.0,11.0,17.9,,2,0.0,17.2
11.09.2019,27.0,10.0,17.6,,3,0.0,15.8
12.09.2019,26.0,9.0,17.3,,3,0.0,15.3
13.09.2019,24.0,11.0,17.8,,3,,16.1
14.09.2019,17.0,7.0,12.9,,5,,9.3
15.09.2019,13.0,7.0,9.8,,5,,5.9
16.09.2019,15.0,10.0,11.7,,6,,7.6
17.09.2019,13.0,8.0,9.8,,5,,6.0
18.09.2019,12.0,6.0,8.7,,3,,6.1
19.09.2019,12.0,6.0,8.7,,4,,5.4
20.09.2019,10.0,1.0,6.4,,3,,3.5
21.09.2019,8.0,3.0,5.3,,3,,2.2
22.09.2019,8.0,3.0,5.4,,7,,-0.2
23.09.2019,8.0,1.0,4.8,,6,,-0.4
24.09.2019,8.0,0.0,4.2,,3,0.0,0.9
25.09.2019,8.0,3.0,5.6,,3,,2.4
26.09.2019,13.0,0.0,6.7,,2,0.0,4.1
27.09.2019,13.0,-1.0,7.5,,4,0.0,3.9
28.09.2019,12.0,3.0,8.4,,2,,6.3
29.09.2019,11.0,8.0,8.8,,4,,5.7
30.09.2019,14.0,9.0,12.0,,5,,8.9
01.10.2019,17.0,6.0,12.7,,5,,9.6
02.10.2019,16.0,6.0,12.1,,5,,8.6
03.10.2019,22.0,9.0,14.8,,5,0.0,11.5
04.10.2019,15.0,6.0,10.4,,4,,7.5
05.10.2019,11.0,4.0,7.4,,3,0.0,4.5
06.10.2019,5.0,0.0,2.1,,7,,-3.8
07.10.2019,3.0,-1.0,1.9,,5,,-2.9
08.10.2019,5.0,-1.0,1.6,,4,,-2.7
09.10.2019,8.0,1.0,3.9,,4,,0.1
10.10.2019,10.0,5.0,7.9,,4,,4.8
11.10.2019,11.0,8.0,9.2,,4,,6.1
12.10.2019,12.0,8.0,10.0,,6,,5.8
13.10.2019,12.0,8.0,10.3,,6,0.0,5.9
14.10.2019,18.0,6.0,12.2,,5,,8.8
15.10.2019,15.0,0.0,9.1,,5,,5.1
16.10.2019,9.0,-2.0,4.9,,4,,1.0
17.10.2019,19.0,5.0,13.3,,4,0.0,10.5
18.10.2019,15.0,8.0,12.7,,3,,10.8
19.10.2019,16.0,6.0,11.4,,3,,9.3
20.10.2019,19.0,10.0,13.3,,3,,11.4
21.10.2019,17.0,8.0,13.2,,5,,10.0
22.10.2019,12.0,6.0,8.5,,3,0.0,6.0
23.10.2019,13.0,10.0,12.2,,4,,9.4
24.10.2019,11.0,9.0,9.7,,2,0.0,7.8
25.10.2019,13.0,4.0,8.4,,3,0.0,5.7
26.10.2019,13.0,6.0,10.1,,5,,6.4
27.10.2019,13.0,11.0,12.1,,7,,7.4
28.10.2019,13.0,1.0,6.5,,6,0.0,1.3
29.10.2019,6.0,1.0,3.3,,4,,-0.6
30.10.2019,2.0,-3.0,-0.7,,7,,-7.1
31.10.2019,-2.0,-4.0,-2.8,,4,,-7.5
01.11.2019,1.0,-3.0,-1.2,,5,,-6.4
02.11.2019,4.0,0.0,1.3,,4,,-2.8
03.11.2019,4.0,1.0,1.9,,7,,-4.1
04.11.2019,9.0,4.0,6.8,,6,,2.1
05.11.2019,13.0,8.0,10.4,,6,,6.3
06.11.2019,12.0,9.0,10.0,,4,,7.2
07.11.2019,11.0,5.0,6.2,,4,,2.8
08.11.2019,5.0,2.0,3.2,,2,,0.8
09.11.2019,4.0,2.0,2.7,,6,,-2.4
10.11.2019,9.0,4.0,6.6,,5,,2.7
11.11.2019,9.0,5.0,6.8,,5,,2.8
12.11.2019,8.0,3.0,4.9,,5,,0.5
13.11.2019,5.0,-1.0,2.4,,4,0.0,-1.7
14.11.2019,7.0,-1.0,2.2,,5,0.0,-2.5
15.11.2019,6.0,-3.0,0.6,,4,0.0,-3.6
16.11.2019,3.0,1.0,2.1,,5,,-2.5
17.11.2019,6.0,3.0,4.6,,3,,1.6
18.11.2019,4.0,0.0,1.6,,2,,-1.1
19.11.2019,4.0,-1.0,1.1,,3,0.0,-2.2
20.11.2019,4.0,-8.0,-0.4,,5,,-5.5
21.11.2019,-5.0,-11.0,-8.7,,4,,-13.8
22.11.2019,-3.0,-12.0,-8.9,,3,0.0,-13.4
23.11.2019,-5.0,-13.0,-9.6,,3,0.0,-14.2
24.11.2019,-4.0,-13.0,-8.9,,3,0.0,-13.4
25.11.2019,-2.0,-10.0,-7.3,,3,0.0,-11.8
26.11.2019,-1.0,-13.0,-5.1,,3,,-9.4
27.11.2019,-1.0,-2.0,-1.7,,3,0.0,-5.6
28.11.2019,-1.0,-2.0,-1.4,,4,,-5.9
29.11.2019,2.0,-1.0,1.2,,7,,-4.8
30.11.2019,4.0,-1.0,1.8,,4,,-2.2
01.12.2019,-1.0,-5.0,-2.9,,5,,-8.3
02.12.2019,-2.0,-6.0,-4.0,,5,,-9.4
03.12.2019,-2.0,-3.0,-2.6,,3,,-6.5
04.12.2019,0.0,-3.0,-1.9,,5,,-7.1
05.12.2019,3.0,0.0,1.9,,6,,-3.4
06.12.2019,2.0,1.0,1.4,,6,,-4.1
07.12.2019,3.0,-1.0,0.7,,5,,-4.3
08.12.2019,3.0,-1.0,1.2,,5,,-3.7
09.12.2019,4.0,1.0,3.1,,6,,-2.2
10.12.2019,3.0,2.0,2.8,,3,,-0.4
11.12.2019,4.0,0.0,1.7,,3,0.0,-1.7
12.12.2019,2.0,0.0,1.1,,3,,-2.3
13.12.2019,1.0,-1.0,0.0,,5,,-4.9
14.12.2019,0.0,-2.0,-0.7,,6,,-6.4
15.12.2019,1.0,-1.0,0.1,,5,,-4.7
16.12.2019,3.0,1.0,1.8,,4,,-2.2
17.12.2019,3.0,1.0,1.9,,4,,-2.1
18.12.2019,6.0,1.0,3.1,,4,,-0.7
19.12.2019,6.0,1.0,3.9,,10,,-4.1
20.12.2019,2.0,-3.0,-0.2,,4,0.0,-4.6
21.12.2019,2.0,-2.0,0.9,,4,0.0,-3.5
22.12.2019,4.0,1.0,1.9,,5,,-2.7
23.12.2019,6.0,4.0,4.7,,5,,0.5
24.12.2019,7.0,0.0,2.9,,5,,-1.5
25.12.2019,,,0.0,,3,,-3.5
26.12.2019,-1.0,-2.0,-1.4,,2,,-4.4
27.12.2019,-1.0,-4.0,-1.7,,2,,-4.8
28.12.2019,-1.0,-4.0,-2.7,,4,,-7.2
29.12.2019,-3.0,-4.0,-3.3,,3,,-7.3
30.12.2019,0.0,-4.0,-2.6,,7,,-9.1
31.12.2019,2.0,-1.0,0.9,,5,,-3.9
